file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LevenshteinDistance.java,LevenshteinDistance,class,2,12,1,6,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,4,4,1,0,0,5,16,14,10,10,10,3,0,0,0,42
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,class,2,16,1,7,0,3,1,3,0,0,0,0,0,0,3,1,1,2,0,0,1,0,0,78,0,10,2,0,0,6,18,22,9,9,17,3,0,0,0,28
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,class,2,8,1,0,0,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,39,2,1,1,0,0,2,3,12,0,0,6,1,0,1,0,35
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HeapSort.java,Sorts.HeapSort,class,5,4,1,9,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,2,1,0,0,0,1,11,6,0,0,6,1,0,1,0,57
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ColumnarTranspositionCipher.java,ciphers.ColumnarTranspositionCipher,class,2,34,1,19,0,12,12,4,8,0,0,0,0,0,6,6,1,5,0,0,3,0,13,137,9,17,0,0,1,16,28,50,12,12,35,3,0,0,0,117
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MatrixChainMultiplication.java,Matrix,class,3,26,1,19,12,9,5,1,4,0,0,0,0,0,9,6,0,9,0,0,0,0,12,114,4,13,3,0,1,13,36,32,23,23,27,4,0,1,0,35
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/EggDropping.java,EggDropping,class,2,8,1,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,1,5,0,0,0,0,17,15,6,6,10,3,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ShellSort.java,Sorts.ShellSort,class,4,6,1,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,4,0,0,0,0,15,10,5,5,7,3,0,0,0,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HashMap.java,HashMap,class,2,8,1,5,0,5,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,31,1,2,0,0,0,1,3,9,1,1,7,1,0,0,0,14
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TowerOfHanoiUsingRecursion.java,TowerOfHanoi,class,1,3,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,1,0,0,7,3,2,3,3,2,1,0,0,0,18
