file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,compile/2[java.lang.String,char],152,1,30,8,70,1,6,2,152,1,5,0,7,10,16,27,3,2,0,0,0,24
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.lang.String],340,0,6,8,32,0,3,1,340,2,0,1,0,4,2,10,0,4,0,0,0,27
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.io.File,char],111,0,4,11,17,0,2,2,111,0,0,1,0,1,1,6,0,1,0,0,1,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,addRow/1[java.lang.String],289,1,1,4,4,0,0,1,289,0,0,0,0,0,1,0,1,0,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/1[java.io.File],609,0,9,9,45,0,5,1,609,4,0,1,0,7,5,16,0,4,0,0,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getElementString/2[int,int],252,0,3,4,8,1,0,2,252,0,0,0,0,2,1,0,1,1,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getNumberOfRows/0,668,0,1,1,3,1,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/1[char],135,0,1,0,6,0,0,1,135,0,0,0,0,1,0,4,0,0,0,0,0,11
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/0,549,0,9,9,45,0,5,0,549,4,0,1,0,7,5,16,0,4,0,0,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,removeRow/1[java.lang.String],506,0,6,8,15,0,1,1,506,2,0,0,0,0,2,1,0,5,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,findRow/1[java.lang.String],427,0,4,4,14,1,2,1,427,2,0,0,0,0,1,5,0,3,0,0,0,11
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getColumn/1[java.lang.String],485,0,3,5,13,1,3,1,485,1,0,0,0,2,3,3,1,2,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RootPrecision.java,RootPrecision,main/1[java.lang.String[]],5,1,1,3,6,0,3,1,5,0,0,0,0,0,0,3,0,0,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RootPrecision.java,RootPrecision,squareRoot/2[int,int],17,0,1,1,8,1,3,2,17,0,0,0,0,0,2,4,2,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,77,3,7,4,26,0,8,0,77,5,0,0,0,3,9,18,2,2,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],55,2,3,1,10,0,2,3,55,0,0,0,0,0,0,5,0,1,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Graph/2[int,int],33,1,2,0,6,0,1,2,33,1,0,0,0,0,1,5,0,0,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],133,1,1,1,21,0,3,1,133,0,0,0,0,0,32,18,0,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,find/2[Graph.subset,int],44,2,2,1,4,1,0,2,44,0,0,0,0,0,0,1,0,0,0,0,0,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,main/1[java.lang.String[]],26,1,1,4,16,0,1,1,26,0,11,0,0,2,7,1,0,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,peek/0,10,2,2,2,7,1,1,0,10,0,0,0,0,0,1,2,0,1,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,poll/0,20,2,2,2,7,1,1,0,20,0,0,0,0,0,1,2,0,1,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,hasElements/0,6,0,1,1,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
